#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-09-24T08:54:41 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-09-24T08:54:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/688/A13/table4&-source=J/A+A/688/A13/table4&-out=EPIC&-out=numaxCV&-out=e_numaxCV&-out=dnuCV&-out=e_dnuCV&-out=numaxSYD&-out=e_numaxSYD&-out=dnuSYD&-out=e_dnuSYD&-out=numaxTACO&-out=e_numaxTACO&-out=dnuTACO&-out=e_dnuTACO&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36880013
#Name: J/A+A/688/A13
#Title: K2 asteroseismic KEYSTONE Sample. I. (Lund+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/688/a13	    IVOID of underlying data collection
#INFO	creator=Lund M.N.	    First author or institution
#INFO	cites=bibcode:2024A&A...688A..13L	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/688/A13	    Dataset landing page
#INFO	publication_date=2024-07-30	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_688_A13_table4:
#Name: J/A+A/688/A13/table4
#Title: Seismologic properties
#Column	EPIC	(I9)	PIC identification number	[ucd=meta.id;meta.main]
#Column	numaxCV	(F8.3)	? numax from CV method (2)	[ucd=em.freq;src.var]
#Column	e_numaxCV	(F6.3)	? Uncertainty on numax from CV method (2)	[ucd=stat.error]
#Column	dnuCV	(F7.3)	? dnu from CV method (2)	[ucd=em.freq;src.var]
#Column	e_dnuCV	(F6.3)	? Uncertainty on dnu from CV method (2)	[ucd=stat.error]
#Column	numaxSYD	(F8.3)	? numax from SYD method (3)	[ucd=em.freq;src.var]
#Column	e_numaxSYD	(F8.3)	? Uncertainty on numax from SYD method (3)	[ucd=stat.error]
#Column	dnuSYD	(F7.3)	? dnu from SYD method (3)	[ucd=em.freq;src.var]
#Column	e_dnuSYD	(F6.3)	? Uncertainty on dnu from SYD method (3)	[ucd=stat.error]
#Column	numaxTACO	(F8.3)	? numax from TACO/OCT method (4)	[ucd=em.freq;src.var]
#Column	e_numaxTACO	(F6.3)	? Uncertainty on numax from TACO/OCT method (4)	[ucd=stat.error]
#Column	dnuTACO	(F7.3)	? dnu from TACO/OCT method (4)	[ucd=em.freq;src.var]
#Column	e_dnuTACO	(F6.3)	? Uncertainty on dnu from TACO/OCT method (4)	[ucd=stat.error]
#EPIC	numaxCV	e_numaxCV	dnuCV	e_dnuCV	numaxSYD	e_numaxSYD	dnuSYD	e_dnuSYD	numaxTACO	e_numaxTACO	dnuTACO	e_dnuTACO
# 	uHz	uHz	uHz	uHz	uHz	uHz	uHz	uHz	uHz	uHz	uHz	uHz
#---------	--------	------	-------	------	--------	--------	-------	------	--------	------	-------	------
201623069	1063.997	22.758	 58.270	 0.575	1085.900	  28.228	 58.074	 0.382	1061.750	18.044	 58.226	 0.881
201644284	 881.422	 6.457	 48.613	 0.869	 865.623	  12.691	 48.042	 0.156	 863.912	 4.884	 48.443	 0.710
201725213	 706.171	 9.914	 41.199	 0.567	        	        	       	      	 712.435	 8.859	 41.471	 0.622
203530127	1231.749	19.066	 62.040	 0.490	1163.261	  50.502	 61.889	 0.287	1237.370	32.870	 62.006	 0.708
211311380	2218.214	35.645	 99.935	 0.578	2157.579	  43.467	100.166	 0.816	        	      	       	
211388537	 300.949	 7.727	 21.066	 0.396	        	        	       	      	 310.283	 5.667	 21.066	 0.392
211401787	1764.440	22.988	 85.729	 0.635	1713.890	 102.436	 85.272	 0.680	1748.730	30.154	 85.511	 1.051
211403248	 334.585	 7.025	 21.451	 0.514	        	        	       	      	        	      	       	
211403248	 333.831	 4.192	 20.911	 0.602	        	        	       	      	 319.153	 3.954	 21.097	 0.429
211403248	 328.510	 5.006	 21.508	 0.512	 319.725	   5.546	 21.522	 1.065	        	      	       	
211405262	 418.324	 9.843	 26.600	 0.474	        	        	       	      	        	      	       	
211405262	 420.755	11.261	 26.533	 0.521	        	        	       	      	        	      	       	
211409088	 538.517	11.811	 33.569	 0.490	        	        	       	      	        	      	       	
211409088	 550.899	12.844	 33.495	 0.484	        	        	       	      	        	      	       	
211409560	 271.035	 7.036	 19.239	 0.381	        	        	       	      	        	      	       	
211409560	 293.402	 5.194	 19.164	 0.427	        	        	       	      	 273.662	 4.191	 19.080	 0.393
211409560	 277.530	 4.256	 19.042	 0.391	 273.180	   5.436	 18.974	 0.468	 275.330	 3.639	 19.149	 0.366
211411553	 313.881	 5.725	 21.238	 0.446	        	        	       	      	        	      	       	
211411553	 314.113	 8.768	 21.424	 0.364	 270.570	  28.078	 20.679	 0.647	 291.181	18.767	 21.488	 0.330
211411922	 564.775	16.471	 33.546	 0.740	        	        	       	      	 581.160	25.059	 33.615	 0.532
211414687	 204.775	 5.200	 15.092	 0.311	        	        	       	      	        	      	       	
211416749	 238.662	 5.998	 16.636	 0.355	        	        	       	      	        	      	       	
211416749	 237.585	 3.534	 16.732	 0.448	 234.465	   5.437	 16.508	 0.916	 234.528	 2.675	 16.699	 0.332
211506655	 376.750	 3.801	 24.062	 0.467	 363.767	   4.467	 24.379	 0.287	 356.598	 1.511	 24.154	 0.473
211780967	1059.629	16.474	 58.394	 0.475	1127.259	  14.953	 58.351	 0.283	1135.570	12.646	 58.521	 0.706
211811597	 184.798	 2.987	 14.489	 0.412	 176.575	   2.526	 14.275	 0.216	 175.984	 1.112	 14.391	 0.347
212026577	2525.385	19.851	114.877	 0.780	2499.122	  37.712	115.114	 0.244	        	      	       	
212053807	2993.764	52.333	136.529	 1.077	3013.259	  76.402	136.029	 1.054	        	      	       	
212291429	        	      	       	      	1753.835	  76.128	 84.027	 3.771	        	      	       	
212305951	1951.568	51.636	 94.315	 0.513	1955.762	  70.813	 94.364	 0.710	1916.120	21.827	 94.010	 1.033
212306203	1739.690	32.209	 93.419	 0.630	2099.910	 103.368	 93.915	 2.921	        	      	       	
212340257	1889.605	68.219	 84.730	 0.657	1769.674	 160.229	 85.066	 1.481	        	      	       	
212478598	 528.281	 5.252	 35.699	 0.579	 528.938	   8.902	 35.130	 0.121	 529.543	 3.114	 35.732	 0.661
