ID,numax,numax_e,dnu,dnu_e,Teff,Teff_e,bp_rp,bp_rp_e
201623069,1063.997,22.758,58.27,0.575,6029,40,0.770509,0.1
201644284,881.422,6.457,48.613,0.869,5329,30,0.977807,0.1
201725213,706.171,9.914,41.199,0.567,5278,37,1.021303,0.1
203530127,1231.749,19.066,62.04,0.49,6212,45,0.687133,0.1
211311380,2218.214,35.645,99.935,0.578,6339,50,0.64792,0.1
211388537,300.949,7.727,21.066,0.396,5046,41,1.124862,0.1
211401787,1764.44,22.988,85.729,0.635,6336,53,0.667767,0.1
211403248,328.51,5.006,21.508,0.512,5023,38,1.112697,0.1
211405262,420.755,11.261,26.533,0.521,5091,39,1.088292,0.1
211409088,550.899,12.844,33.495,0.484,5136,36,1.07178,0.1
211409560,277.53,4.256,19.042,0.391,4983,35,1.131733,0.1
211411553,314.113,8.768,21.424,0.364,4947,40,1.152612,0.1
211411922,564.775,16.471,33.546,0.74,5268,37,1.033496,0.1
211414687,204.775,5.2,15.092,0.311,4916,36,1.156933,0.1
211416749,237.585,3.534,16.732,0.448,4917,33,1.151734,0.1
211506655,376.75,3.801,24.062,0.467,4838,28,1.155219,0.1
211780967,1059.629,16.474,58.394,0.475,6432,36,0.597132,0.1
211811597,184.798,2.987,14.489,0.412,4820,28,1.143744,0.1
212026577,2525.385,19.851,114.877,0.78,6118,43,0.709495,0.1
212053807,2993.764,52.333,136.529,1.077,5729,36,0.821178,0.1
212291429,1753.835,76.128,84.027,3.771,6625,46,0.561138,0.1
212305951,1951.568,51.636,94.315,0.513,6266,45,0.684574,0.1
212306203,1739.69,32.209,93.419,0.63,6790,44,0.538294,0.1
212340257,1889.605,68.219,84.73,0.657,6187,44,0.712813,0.1
212478598,536.704,4.837,35.597,1.169,5056,33,1.066169,0.1
212485100,1834.302,21.455,87.455,0.58,6106,39,0.723874,0.1
212487676,1448.231,14.518,76.56,0.601,6015,46,0.718807,0.1
212509747,1309.774,18.306,66.325,0.499,6422,39,0.624033,0.1
212516207,1373.579,20.01,68.257,0.523,6152,53,0.726089,0.1
212586030,316.679,4.249,21.365,0.49,4710,30,1.260479,0.1
212617037,879.021,27.977,50.911,0.514,6570,45,0.607508,0.1
212624487,3025.209,33.563,132.357,0.784,6143,41,0.714225,0.1
212636554,1310.789,26.144,66.295,0.496,6396,39,0.632802,0.1
212683142,806.143,8.267,45.616,0.557,5924,35,0.77773,0.1
212692724,1233.203,12.686,66.324,0.538,6258,48,0.668969,0.1
212698976,703.155,7.434,42.262,0.552,5986,37,0.762746,0.1
212708252,2896.664,21.682,133.162,0.773,5550,31,0.871788,0.1
212709512,1208.055,13.092,65.325,0.554,5967,42,0.726163,0.1
212709737,1717.351,68.558,78.124,0.468,6563,51,0.595898,0.1
212710665,1287.161,11.952,68.095,0.565,5999,41,0.72456,0.1
212728118,761.25,25.03,40.897,0.411,6423,40,0.6417,0.1
212772187,1846.891,34.923,88.012,0.578,6466,49,0.635046,0.1
212819198,1259.234,33.692,66.427,0.476,6434,77,0.615361,0.1
213332010,1324.652,10.966,70.776,0.571,6046,40,0.735518,0.1
213554577,2044.427,24.879,93.644,0.739,6269,44,0.632917,0.1
213841509,1886.931,20.057,93.393,0.612,6016,38,0.740378,0.1
214073502,2720.063,33.515,120.723,0.801,5657,46,0.820522,0.1
214155925,722.95,17.669,43.512,0.479,6176,72,0.759012,0.1
215035735,1201.375,15.087,62.973,0.509,6050,49,0.710279,0.1
216228024,3024.376,48.339,126.301,0.853,5801,34,0.838555,0.1
219179379,1590.67,17.851,81.674,0.583,6373,43,0.633671,0.1
220222356,226.112,3.653,16.268,0.504,4840,31,1.142059,0.1
220292272,1242.752,24.853,68.555,0.682,6468,49,0.608237,0.1
220374993,2056.826,25.078,94.051,0.628,6366,55,0.647922,0.1
220437625,428.34,3.593,27.086,0.885,5019,35,1.084425,0.1
220623859,2232.047,18.929,105.335,0.754,5971,43,0.752189,0.1
221823709,1523.661,18.063,74.436,0.546,6365,47,0.621508,0.1
224535896,1824.606,11.101,92.032,0.676,5779,42,0.8066,0.1
226083290,2398.978,50.049,102.383,0.787,6204,42,0.687338,0.1
226464131,2984.288,58.037,131.562,0.676,5785,46,0.770656,0.1
228704734,1292.572,26.276,65.455,0.515,6332,51,0.655369,0.1
228720824,2693.646,53.992,121.84,0.577,6170,77,0.641463,0.1
228737206,561.386,8.65,32.89,0.458,5519,42,0.899207,0.1
228739655,934.685,8.541,51.778,1.017,5476,35,0.85944,0.1
228759924,810.092,17.993,49.922,0.458,6415,43,0.594378,0.1
228775782,2022.721,32.364,93.868,0.657,5810,40,0.820501,0.1
228789925,1123.927,8.482,60.703,0.636,5735,34,0.832477,0.1
228818122,1613.397,32.193,77.575,2.908,6455,36,0.580234,0.1
228837389,552.51,5.862,35.307,0.617,5353,29,0.927497,0.1
228984381,1185.413,9.311,62.834,0.6,5848,35,0.787271,0.1
229110376,500.77,10.051,30.629,0.36,5248,36,0.981282,0.1
229159911,845.771,23.893,42.029,0.553,6406,52,0.612855,0.1
230748783,2263.764,21.499,104.225,0.921,5633,37,0.868386,0.1
231478973,1648.464,30.822,84.603,0.656,6217,42,0.668617,0.1
233933903,1458.426,10.974,73.883,0.597,5811,34,0.807296,0.1
233947029,1618.573,13.742,79.077,0.655,5772,50,0.80743,0.1
234426962,1068.39,19.911,58.512,0.5,6083,37,0.730908,0.1
234863731,1501.791,25.144,73.302,0.528,6084,46,0.718317,0.1
235124375,2208.507,25.648,100.171,0.672,6210,38,0.706549,0.1
236012973,2554.852,21.716,117.48,0.722,5549,37,0.901274,0.1
236224056,764.233,5.991,43.047,1.021,5215,33,1.009615,0.1
236344582,2858.132,25.478,122.906,0.763,6008,50,0.737026,0.1
237799552,2709.384,50.194,122.629,0.648,5794,40,0.801512,0.1
241011563,1411.071,11.517,73.489,0.618,5889,39,0.784698,0.1
242184803,1179.099,24.706,61.199,0.551,6030,37,0.743043,0.1
245939167,2531.051,35.558,109.134,0.648,6214,47,0.652098,0.1
245961434,842.407,13.516,46.992,0.556,5984,35,0.766578,0.1
245972483,1786.573,16.957,85.081,0.6,6132,39,0.688636,0.1
