ID	Lum	Lum_e
201623069	5.382	0.079
201644284	3.216	0.033
201725213	4.223	0.091
203530127	4.733	0.038
211311380	2.417	0.021
211388537	8.622	0.41
211401787	2.905	0.035
211403248	7.961	0.35
211405262	6.486	0.269
211409088	5.413	0.232
211409560	9.004	0.427
211411553	8.615	0.352
211411922	5.125	0.228
211414687	12.388	0.593
211416749	11.463	0.543
211506655	5.57	0.066
211780967	5.802	0.046
211811597	9.149	0.098
212026577	1.595	0.013
212053807	1.04	0.008
212291429	4.28	0.039
212305951	2.595	0.03
212306203	3.763	0.046
212340257	5.027	0.725
212478598	3.405	0.047
212485100	2.525	0.025
212487676	2.677	0.028
212509747	4.618	0.051
212516207	4.094	0.065
212586030	6.238	0.371
212617037	8.4	0.175
212624487	1.261	0.01
212636554	4.716	0.037
212683142	5.734	0.075
212692724	3.571	0.032
212698976	6.247	0.144
212708252	0.851	0.008
212709512	3.774	0.072
212709737	4.358	0.083
212710665	3.159	0.088
212728118	11.593	0.413
212772187	3.099	0.035
212819198	5.018	0.072
213332010	2.998	0.026
213554577	2.292	0.023
213841509	1.932	0.017
214073502	1.374	0.024
214155925	8.834	0.521
215035735	4.316	0.049
216228024	1.128	0.009
219179379	2.85	0.024
220222356	9.518	0.125
220292272	4.634	0.036
220374993	2.714	0.19
220437625	5.321	0.068
220623859	1.612	0.012
221823709	3.65	0.03
224535896	1.577	0.013
226083290	2.181	0.023
226464131	1.305	0.014
228704734	4.455	0.044
228737206	7.193	0.074
228739655	3.491	0.034
228759924	6.398	0.271
228775782	3.054	0.072
228789925	2.992	0.039
228818122	3.843	0.031
228837389	4.603	0.044
228984381	3.202	0.027
229110376	6.04	0.065
229159911	9.709	0.118
230748783	1.346	0.011
231478973	4.074	0.998
233933903	2.597	0.021
233947029	2.474	0.024
234426962	4.537	0.035
234863731	3.547	0.033
235124375	2.126	0.021
236012973	1.019	0.009
236224056	3.648	0.04
236344582	1.38	0.011
237799552	1.205	0.01
241011563	2.713	0.025
242184803	4.535	0.058
245939167	1.621	0.126
245961434	8.534	0.364
245972483	2.605	0.037
246003951	9.138	0.106
246011640	5.345	0.106
246018042	3.387	0.053
246025837	2.016	0.017
246033065	2.139	0.017
246054188	3.763	0.059
246069493	1.285	0.01
246099088	3.818	0.121
246134147	2.814	0.024
246154489	13.107	0.227
246161591	9.174	0.194
246163607	2.337	0.02
246184564	18.471	0.511
246212144	6.576	0.159
246256752	3.821	0.031
246257644	1.655	0.015
246260292	2.917	0.022
246301897	2.136	0.017
246305274	6.075	0.081
246305350	5.87	0.073
246358740	3.218	0.06
246358796	1.882	0.015
246418246	1.879	0.027
246438837	5.469	0.124
246685193	2.356	0.018
246696804	5.434	0.071
246758642	3.429	0.035
246843060	2.512	0.021
246907677	2.974	0.042
246928030	4.599	0.037
247236354	4.051	0.032
247245721	4.972	0.198
247643791	3.263	0.026
247906277	0.835	0.007
247992384	2.328	0.019
248149077	5.535	0.062
248424564	1.235	0.011
248505415	2.828	0.022
248514180	8.642	0.737
248530476	5.256	0.069
248553904	2.092	0.018
248568507	4.898	0.112
248593082	6.475	0.08
248641774	1.587	0.015
248643218	5.207	0.545
248662379	1.847	0.015
248663722	9.662	0.126
248665653	3.762	0.045
248687497	2.001	0.016
248696061	12.098	0.212
248724653	15.444	0.356
248729983	2.701	0.033
248760285	4.931	0.122
248776784	26.55	0.628
248777106	2.678	0.029
248785352	1.306	0.011
248825038	2.636	0.025
248842300	3.598	0.028
248849444	3.708	0.054
248855475	2.811	0.03
248891803	4.341	0.062
249151042	4.005	0.165
249154730	4.409	0.178
249175306	10.086	0.116
249200379	2.128	0.059
249404897	2.676	0.11
249549448	1.214	0.01
249570007	9.806	0.347
249580606	2.221	0.018
249589868	3.458	0.098
249602800	2.698	0.023
249620304	2.686	0.152
249627169	4.427	0.398
249639834	14.817	0.926
249790971	1.892	0.016
249810309	2.735	0.126
249829497	1.571	0.014
249869231	3.88	0.031
249874527	3.759	0.029
249877325	5.455	0.418
249939354	20.361	2.205
250118096	1.832	0.015
250141301	1.21	0.01
250164599	8.391	0.755
250165973	2.139	0.018
