ID,numax,delta_nu,e_delta_nu,epsilon,e_epsilon,alpha,e_alpha,D,e_D,delta_Pi,e_delta_Pi,q,e_q,epsilon_g,e_epsilon_g,f_shift,e_f_shift,Omega_g,e_Omega_g,Omega_p,e_Omega_p,Teff,e_Teff,Lum,e_Lum,Fe/H,e_Fe/H,mass,e_mass,radius,e_radius,inclination,e_inclination,linewidth0,e_linewidth0,age,e_age,ruwe
KIC1026326,96.282898,8.842311,0.014715,0.176773,0.018699,-0.000284,0.002131,0.193952,0.006092,74.089689,0.025126,0.130605,0.003845,0.216716,0.046537,0.598378,0.020568,4.245154,0.036366,0.036227,0.101605,4829.9,86.4,1.416,0.334,-0.119,-0.003,1.3,0.08,6.7,0.15,50.000149,2.925621,0.030211,0.005108,9999,9999,1.421714
KIC1027582,158.282648,12.619944,0.0122,0.319342,0.012425,-0.000584,0.001101,0.261594,0.006173,81.152241,0.028168,0.127846,0.001979,0.280118,0.027102,0.71827,0.021061,5.930887,0.055769,0.105949,0.066003,4767.2,85.8,1.096,0.0185,0.141,-0.02,1.39,0.09,5.41,0.12,64.222044,1.769964,0.053116,0.007407,5.535,0.8415,1.006179
KIC1430118,161.156624,13.360618,0.010406,0.264439,0.00936,0.005504,0.000871,0.298924,0.007164,83.151308,0.018806,0.15237,0.002361,0.22171,0.016802,0.776975,0.020469,3.521508,0.042726,0.214095,0.07431,4912,89.55,1.064,0.0215,-0.064,-0.0075,1.23,0.08,5.03,0.11,76.915285,3.280059,0.04892,0.006235,9999,9999,0.884151
KIC1431059,172.26815,13.697301,0.004434,0.250952,0.004478,0.006911,0.000415,0.303351,0.006128,83.19676,0.011009,0.140315,0.002183,0.259577,0.009242,0.734003,0.026705,5.68237,0.020475,0.137853,0.035475,4646.2,83.7,1.025,0.0195,0.198,0.0025,1.19,0.06,4.85,0.08,39.307869,2.956051,0.040607,0.004556,6.71,0.981,1.057829
KIC1432825,175.968071,13.699256,0.02113,0.310759,0.020393,0.000403,0.001341,0.300143,0.00642,80.4787,0.048357,0.145828,0.003192,0.252988,0.039905,0.627371,0.029679,9999,9999,9999,9999,4893.1,85.25,1.199,0.1755,-0.177,0.009,1.64,0.12,5.47,0.14,9999,9999,9999,9999,5.143,0.8905,1.045338
KIC1433803,153.172221,12.198424,0.006535,0.256666,0.008623,0.002917,0.000352,0.261277,0.006244,80.044942,0.009711,0.133474,0.002448,0.215764,0.010693,0.70405,0.033123,4.562309,0.023038,0.476177,0.039101,4711.6,78.9,1.071,0.007,0.254,-0.007,1.24,0.06,5.29,0.09,70.801922,1.304996,0.075827,0.007396,6.047,0.1905,1.037899
KIC1569842,136.815198,11.842643,0.011041,0.220976,0.011218,0.006101,0.001031,0.269402,0.005492,80.685186,0.012982,0.147153,0.001864,0.2191,0.013803,0.724498,0.018564,4.618033,0.03068,-0.045188,0.083164,4988,83.1,1.154,0.0025,-0.292,-0.0065,1,0.05,5.01,0.09,40.075704,1.942378,0.053653,0.004046,15.723,2.06,0.851707
KIC1572317,199.268437,14.833728,0.008019,0.274318,0.007128,0.005649,0.000561,0.302037,0.005559,84.077198,0.020847,0.143555,0.001557,0.264483,0.015145,0.602997,0.019059,3.528786,0.03814,0.205704,0.053226,5107.3,124.95,1.234,0.3705,-0.227,-0.0035,1.69,0.11,5.26,0.12,84.506656,2.720148,0.062142,0.00617,3.573,0.691,3.681138
KIC1573925,126.927235,10.835311,0.012634,0.204255,0.01341,0.004105,0.000926,0.247951,0.005355,77.07935,0.025334,0.142922,0.003584,0.218948,0.033326,0.611326,0.021576,7.544147,0.048151,0.286346,0.092058,4968.4,93.45,1.314,0.269,-0.473,0.0035,1.36,0.09,5.99,0.14,9999,9999,9999,9999,9999,9999,0.984148
KIC1719422,137.619749,11.346291,0.011461,0.202675,0.012418,0.005931,0.001193,0.241159,0.005801,76.927434,0.016677,0.138362,0.002706,0.412641,0.020713,0.617751,0.021427,3.277761,0.03218,0.071179,0.074694,4961.7,86.25,1.247,0.185,-0.265,0.0185,1.29,0.06,5.62,0.1,85.239771,1.63774,0.057677,0.005156,9999,9999,1.077537
