#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-09-24T08:41:15 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-09-24T08:41:15	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/688/A13/table2&-source=J/A+A/688/A13/table2&-out=EPIC&-out=teffIRFM&-out=e_teffIRFM&-out=teffSPC&-out=e_teffSPC&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36880013
#Name: J/A+A/688/A13
#Title: K2 asteroseismic KEYSTONE Sample. I. (Lund+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/688/a13	    IVOID of underlying data collection
#INFO	creator=Lund M.N.	    First author or institution
#INFO	cites=bibcode:2024A&A...688A..13L	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/688/A13	    Dataset landing page
#INFO	publication_date=2024-07-30	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_688_A13_table2:
#Name: J/A+A/688/A13/table2
#Title: Atmospheric properties
#Column	EPIC	(I9)	EPIC identification number	[ucd=meta.id;meta.main]
#Column	teffIRFM	(I4)	? IRFM effective temperature	[ucd=phys.temperature.effective]
#Column	e_teffIRFM	(I3)	? Uncertainty on IRFM effective temperature	[ucd=stat.error]
#Column	teffSPC	(I4)	? SPC effective temperature	[ucd=phys.temperature.effective]
#Column	e_teffSPC	(I3)	? Uncertainty on SPC effective temperature	[ucd=stat.error]
#EPIC	teffIRFM	e_teffIRFM	teffSPC	e_teffSPC
# 	K	K	K	K
#---------	----	---	----	---
201623069	6029	 40	5827	 77
201644284	5329	 30	5383	 77
201725213	5278	 37	5359	 78
203530127	6212	 45	6180	 77
211311380	6339	 50	6307	 77
211388537	5046	 41	5021	 77
211401787	6336	 53	6213	 77
211403248	5023	 38	5042	 77
211405262	5091	 39	5150	 82
211409088	5136	 36	5198	102
211409560	4983	 35	5019	 77
211411553	4947	 40	4960	 77
211411922	5268	 37	5216	100
211414687	4916	 36	4946	 77
211416749	4917	 33	4705	112
211506655	4838	 28	4956	 77
211780967	6432	 36	6471	 77
211811597	4820	 28	4790	 77
212026577	6118	 43	6092	 77
212053807	5729	 36	5754	 77
212291429	6625	 46	6750	 77
212305951	6266	 45	6281	 77
212306203	6790	 44	6725	 77
212340257	6187	 44	6235	 77
212478598	5056	 33	5059	 77
212485100	6106	 39	6174	 77
212487676	6015	 46	6036	 77
212509747	6422	 39	6381	 77
212516207	6152	 53	6253	 77
212586030	4710	 30	4887	 77
212617037	6570	 45	6539	 77
212624487	6143	 41	6065	 77
212636554	6396	 39	6360	 77
212683142	5924	 35	5900	 77
212692724	6258	 48	6170	 77
212698976	5986	 37	5883	 77
212708252	5550	 31	5616	 77
212709512	5967	 42	6004	 77
212709737	6563	 51	6567	 77
212710665	5999	 41	6013	 77
212728118	6423	 40	6378	 77
212772187	6466	 49	6329	 77
212819198	    	   	6434	 77
213332010	6046	 40	5963	 77
213554577	6269	 44	6311	 77
213841509	6016	 38	5988	 77
214073502	5657	 46	5855	 77
214155925	6176	 72	6106	 77
215035735	6050	 49	6147	 77
216228024	5801	 34	5758	 77
219179379	6373	 43	6271	 77
220222356	4840	 31	4918	 77
220292272	6468	 49	6404	 77
220374993	6366	 55	6290	 77
220437625	5019	 35	5057	 77
220623859	5971	 43	5949	 77
221823709	6365	 47	6393	149
224535896	5779	 42	5771	120
226083290	6204	 42	    	
226464131	5785	 46	5995	 77
228704734	6332	 51	6341	 77
228720824	    	   	6170	 77
228737206	5519	 42	5531	 77
228739655	5476	 35	5630	 77
228759924	6415	 43	6425	 77
228775782	5810	 40	5750	 77
228789925	5735	 34	5703	 77
228818122	6455	 36	6504	 77
228837389	5353	 29	5342	 77
228984381	5848	 35	5802	 77
229110376	5248	 36	5307	 77
229159911	6406	 52	6422	 77
230748783	5633	 37	5664	 77
231478973	6217	 42	6196	 77
233933903	5811	 34	5778	 77
233947029	5772	 50	5808	 77
234426962	6083	 37	6039	 77
234863731	6084	 46	6069	 77
235124375	6210	 38	    	
236012973	5549	 37	    	
236224056	5215	 33	5316	 77
236344582	6008	 50	5995	 59
237799552	5794	 40	    	
241011563	5889	 39	5812	116
242184803	6030	 37	5979	122
245939167	6214	 47	6323	 77
245961434	5984	 35	5843	 77
245972483	6132	 39	6189	 77
246003951	6451	 43	6452	 77
246011640	6273	 53	6134	 77
246018042	6303	 43	6269	 77
246025837	5789	 41	5707	 77
246033065	6133	 34	6216	 77
246054188	6100	 45	6094	 77
246069493	5979	 39	5936	 77
246099088	6505	 40	6541	 77
246134147	6237	 45	6135	 77
246154489	4949	 27	5013	 77
246161591	6056	 44	6038	 77
246163607	6397	 47	6377	 77
246184564	4901	 36	4929	 77
246212144	6365	 49	6214	 77
246256752	6183	 47	6165	 77
246257644	6190	 43	6175	 77
246260292	6590	 39	6516	 77
246301897	6330	 49	6343	 77
246305274	6210	 43	6178	 77
246305350	6030	 44	5994	 77
246358740	5745	 42	5677	 77
246358796	6218	 38	6135	 77
246418246	5948	 35	5937	 77
246438837	6159	 42	6076	 77
246685193	5697	 31	5703	 77
246696804	6662	 51	6648	 77
246758642	6304	 52	6261	102
246843060	6219	 35	6209	 77
246907677	6376	 50	6316	 94
246928030	6084	 33	6072	 77
247236354	6177	 41	6179	 77
247245721	5647	 40	5661	 77
247643791	6321	 42	6349	 77
247906277	5659	 33	5535	101
247992384	6390	 35	6373	 77
248149077	5988	 35	5967	 78
248424564	5709	 49	5677	 77
248505415	6393	 39	6346	 77
248514180	    	   	6162	 77
248530476	6465	 61	6448	 77
248553904	6268	 36	6255	 77
248568507	5759	 45	5675	 77
248593082	6406	 40	6334	 77
248641774	6110	 42	6099	 77
248643218	6194	 54	6153	 77
248662379	6167	 60	6045	 77
248663722	5027	 29	5065	 77
248665653	5983	 60	5859	 77
248687497	6227	 45	6218	 77
248696061	4887	 31	4944	 77
248724653	4807	 40	4835	 77
248729983	6266	 46	6225	 77
248760285	4853	 34	4940	 77
248776784	4979	 31	4894	 77
248777106	5573	 40	5662	 77
248785352	5856	 42	5741	 77
248825038	6317	 38	6364	 77
248842300	6445	 35	6429	 77
248849444	5749	 44	5685	 77
248855475	4951	 27	5018	 77
248891803	6062	 42	6165	 77
249151042	6081	 69	5999	 77
249154730	6531	 53	6436	 77
249175306	4832	 29	4880	 77
249200379	6065	 56	6093	 77
249404897	5913	 59	6059	 77
249549448	5949	 43	5927	 77
249570007	6165	 59	6395	 77
249580606	5933	 34	6011	 77
249589868	6475	 52	6496	 77
249602800	5877	 40	5900	 77
249620304	6029	 45	6053	 77
249627169	4978	 79	5039	 77
249639834	5117	 60	5075	 77
249790971	5923	 39	6059	 77
249810309	5771	 66	5678	 77
249829497	5778	 39	5787	 77
249869231	6543	 40	6533	 77
249874527	6425	 49	6428	 77
249877325	6695	100	6570	 77
249939354	5052	 86	5062	 77
250118096	6097	 39	6172	 77
250141301	5869	 40	5953	 77
250164599	5963	 97	6008	 77
250165973	6005	 40	5936	 77

